,Unnamed: 0,date,id,time,lat,lng,description,severity,city,state,visibility,wind_speed,precipitation,weather_condition,year
0,0,2019-01-01,A-1762063,05:58:45,34.229301,-118.259348,At Pennsylvania Ave - Accident.,2,La Crescenta,CA,10.0,3.5,,Clear,2019
1,1,2019-01-01,A-1838793,08:15:05,41.730831,-123.432533,Accident on CA-96 at River Trl.,2,Happy Camp,CA,10.0,4.6,,Clear,2019
2,2,2019-01-01,A-1773578,04:46:00,38.66107,-121.361125,Between I-80 and Hillsdale Blvd - Accident.,2,Sacramento,CA,10.0,9.2,,Clear,2019
3,3,2019-01-01,A-1238846,08:12:27,33.996441,-117.364876,Lane blocked due to accident on CA-60 Eastbound at Exits 34B 52B 53A 53B CA-91.,2,Riverside,CA,10.0,13.8,,Clear,2019
4,4,2019-01-01,A-687135,07:05:30,34.08562,-118.21673,Between Westbound I-5 Acc and Avenue 43 - Accident.,2,Los Angeles,CA,10.0,,,Clear,2019
5,5,2019-01-01,A-166460,15:13:46,34.06092,-118.25032,Ramp to US-101/Hollywood Fwy - Accident.,3,Los Angeles,CA,10.0,4.6,,Clear,2019
6,6,2019-01-01,A-2165483,03:32:16,34.419022,-118.43678999999999,#3 #4 lane blocked due to accident on CA-14 Northbound after Lost Canyon Rd. SigAlert issued.,2,Canyon Country,CA,10.0,17.0,0.0,Fair,2019
7,7,2019-01-01,A-642304,09:04:49,33.870613,-117.744522,#3 #4 lane blocked due to accident on CA-91 Eastbound after Exit 39 Weir Canyon Rd.,2,Anaheim,CA,10.0,13.8,,,2019
8,8,2019-01-01,A-260252,12:54:15,34.069959999999995,-118.2617,At Glendale Blvd/Union Ave - Accident. Right lane blocked.,2,Los Angeles,CA,10.0,,,Clear,2019
9,9,2019-01-01,A-1304425,06:10:45,34.16881,-117.45702,At Duncan Canyon Rd/Exit 118 - Accident.,2,Fontana,CA,10.0,17.3,,Clear,2019
10,10,2019-01-01,A-1511042,09:42:50,35.748768,-120.700195,Accident on US-101 Northbound at Exits 239 239B 10th St.,2,San Miguel,CA,10.0,,,Clear,2019
11,11,2019-01-01,A-1479880,07:50:30,34.052609999999994,-118.22646999999999,Between US-101/Santa Ana Fwy/Mission Rd and I-5/Golden State Fwy/State St - Accident.,2,Los Angeles,CA,10.0,,,Clear,2019
12,12,2019-01-01,A-2345810,15:31:00,34.025490000000005,-118.46598,At Cloverfield Blvd/Exit 1C - Accident. Lane blocked.,2,Santa Monica,CA,10.0,13.8,,Clear,2019
13,13,2019-01-01,A-585369,10:17:30,37.79443,-122.20629,At 35th Ave - Accident.,2,Oakland,CA,10.0,11.5,,Scattered Clouds,2019
14,14,2019-01-01,A-2581577,12:34:16,35.107368,-120.62336699999999,Accident on Pier Ave at CA-1 Pacific Blvd.,2,Oceano,CA,10.0,4.6,,Clear,2019
15,15,2019-01-01,A-1548702,13:16:46,34.0051,-117.39505,At Rubidoux Blvd - Accident. Three lanes blocked.,3,Riverside,CA,10.0,11.5,,Clear,2019
16,16,2019-01-01,A-2083425,07:16:17,40.43483,-122.285843,Accident on I-5 Northbound at I-5 Exits 667 667B / Deschutes Rd.,3,Anderson,CA,10.0,21.9,,Clear,2019
17,17,2019-01-01,A-1887599,00:00:50,37.742043,-121.56673400000001,Accident on I-205 Eastbound at I-580.,3,Tracy,CA,10.0,3.5,,Clear,2019
18,18,2019-01-01,A-847804,09:10:22,36.678108,-119.71785,Accident on Central Ave at Peach Ave.,2,Fresno,CA,2.5,3.5,,Mostly Cloudy,2019
19,19,2019-01-01,A-1508159,21:34:00,37.299228,-121.874769,At CR-G8/Almaden Expy/Exit 3B - Accident.,2,San Jose,CA,10.0,3.5,,Partly Cloudy,2019
20,20,2019-01-01,A-2286892,20:29:41,37.531162,-121.941162,Right hand shoulder blocked due to accident on I-680 Northbound at Exit 14 Auto Mall Pkwy.,3,Fremont,CA,10.0,,,Clear,2019
21,21,2019-01-01,A-1173444,05:48:15,34.1306,-117.50315,At Baseline Rd - Accident.,3,Fontana,CA,10.0,17.3,,Clear,2019
22,22,2019-01-01,A-649565,08:23:18,36.892651,-121.604599,Accident on Anzar Rd at Forest Rd.,2,San Juan Bautista,CA,10.0,,,Clear,2019
23,23,2019-01-01,A-2283726,03:39:15,33.7745,-118.01258,Closed between Garden Grove Blvd/Knott St and Valley View St/Exit 5 - Road closed due to accident.,4,Garden Grove,CA,10.0,19.6,,Clear,2019
24,24,2019-01-01,A-2708540,09:27:46,38.427997999999995,-121.48728200000001,Accident on I-5 Southbound before Exit 508 Laguna Blvd.,3,Elk Grove,CA,10.0,12.7,,Clear,2019
25,25,2019-01-01,A-2729801,13:59:26,38.594784000000004,-122.85282099999999,Accident on US-101 Northbound at US-101 Exit 502 / Healdsburg Ave.,2,Healdsburg,CA,10.0,4.6,,Scattered Clouds,2019
26,26,2019-01-01,A-724161,13:29:30,33.927889,-118.216379,At Wilmington Ave - Accident. Lane blocked.,2,Lynwood,CA,10.0,4.6,,Clear,2019
27,27,2019-01-01,A-2512902,17:21:15,38.562540999999996,-121.345247,At Watt Ave - Accident. Right lane blocked.,2,Sacramento,CA,10.0,8.1,,Partly Cloudy,2019
28,28,2019-01-01,A-1508121,05:16:54,37.943527,-122.51536599999999,#1 lane blocked due to accident on US-101 Southbound near Exits 450A 450B Sir Francis Drake Blvd.,2,Larkspur,CA,10.0,10.4,,Clear,2019
29,29,2019-01-01,A-414637,16:12:16,38.048586,-122.233149,At Pomona St - Accident. Two lanes blocked.,3,Crockett,CA,10.0,6.9,,Clear,2019
30,30,2019-01-01,A-2861430,16:31:22,33.976688,-118.252068,Accident on 70th St at Hooper Ave.,2,Los Angeles,CA,10.0,3.5,,Clear,2019
31,31,2019-01-01,A-1966416,12:17:58,37.367519,-122.404831,Accident on CA-1 Cabrillo Hwy at Triple D Ranch Rd.,2,Half Moon Bay,CA,10.0,13.8,,Clear,2019
32,32,2019-01-01,A-881651,09:47:43,37.60931,-120.920502,Accident on Faith Home Rd at Hatch Rd.,2,Hughson,CA,10.0,13.8,,Clear,2019
33,33,2019-01-01,A-418772,12:53:27,35.592419,-120.69551100000001,Accident on US-101 Southbound at US-101 Exit 228 / CA-46.,2,Paso Robles,CA,10.0,9.2,,Clear,2019
34,34,2019-01-01,A-2056936,12:43:45,33.520769,-117.616105,At Ortega Hwy - Accident.,3,Ladera Ranch,CA,10.0,24.2,,Clear,2019
35,35,2019-01-01,A-976630,11:07:22,40.731770000000004,-122.941162,Accident on Oregon St at Miner St.,2,Weaverville,CA,10.0,3.5,,Clear,2019
36,36,2019-01-01,A-2375353,03:20:30,33.77625,-118.03585,Ramp closed to CA-22/Garden Grove Blvd - Road closed due to accident.,4,Garden Grove,CA,10.0,16.1,,Clear,2019
